Date,Open,High,Low,Close,MA50,MA200
11/18/2021,4700.72 ,4708.80 ,4672.78 ,4704.54 ,4506.65 ,4270.40 
11/19/2021,4708.44 ,4717.75 ,4694.22 ,4697.96 ,4511.44 ,4274.46 
11/22/2021,4712.00 ,4743.83 ,4682.17 ,4682.94 ,4515.72 ,4278.29 
11/23/2021,4678.48 ,4699.39 ,4652.66 ,4690.70 ,4520.68 ,4282.19 
11/24/2021,4675.78 ,4702.87 ,4659.89 ,4701.46 ,4525.09 ,4286.15 
11/26/2021,4664.63 ,4664.63 ,4585.43 ,4594.62 ,4527.51 ,4289.54 
11/29/2021,4628.75 ,4672.95 ,4625.26 ,4655.27 ,4531.95 ,4293.14 
11/30/2021,4640.25 ,4646.02 ,4560.00 ,4567.00 ,4536.14 ,4296.31 
12/1/2021,4602.82 ,4652.94 ,4510.27 ,4513.04 ,4539.32 ,4299.22 
12/2/2021,4504.73 ,4595.46 ,4504.73 ,4577.10 ,4542.95 ,4302.54 
12/3/2021,4589.49 ,4608.03 ,4495.12 ,4538.43 ,4544.74 ,4305.70 
12/6/2021,4548.37 ,4612.60 ,4540.51 ,4591.67 ,4547.46 ,4309.27 
12/7/2021,4631.97 ,4694.04 ,4631.97 ,4686.75 ,4552.33 ,4313.30 
12/8/2021,4690.86 ,4705.06 ,4674.52 ,4701.21 ,4559.30 ,4317.18 
12/9/2021,4691.00 ,4695.26 ,4665.98 ,4667.45 ,4565.46 ,4321.37 
12/10/2021,4687.64 ,4713.57 ,4670.24 ,4712.02 ,4573.55 ,4325.87 
12/13/2021,4710.30 ,4710.30 ,4667.60 ,4668.97 ,4579.79 ,4329.71 
12/14/2021,4642.99 ,4660.47 ,4606.52 ,4634.09 ,4586.46 ,4333.53 
12/15/2021,4636.46 ,4712.60 ,4611.22 ,4709.85 ,4593.75 ,4337.98 
12/16/2021,4719.13 ,4731.99 ,4651.89 ,4668.67 ,4599.85 ,4342.48 
12/17/2021,4652.50 ,4666.70 ,4600.22 ,4620.64 ,4604.27 ,4346.37 
12/20/2021,4587.90 ,4587.90 ,4531.10 ,4568.02 ,4607.80 ,4350.11 
12/21/2021,4594.96 ,4651.14 ,4583.16 ,4649.23 ,4613.56 ,4353.98 
12/22/2021,4650.36 ,4697.67 ,4645.53 ,4696.56 ,4620.48 ,4357.96 
12/23/2021,4703.96 ,4740.74 ,4703.96 ,4725.79 ,4627.72 ,4361.90 
12/27/2021,4733.99 ,4791.49 ,4733.99 ,4791.19 ,4634.78 ,4366.14 
12/28/2021,4795.49 ,4807.02 ,4780.04 ,4786.35 ,4641.08 ,4370.22 
12/29/2021,4788.64 ,4804.06 ,4778.08 ,4793.06 ,4647.21 ,4374.37 
12/30/2021,4794.23 ,4808.93 ,4775.33 ,4778.73 ,4652.39 ,4378.40 
12/31/2021,4775.21 ,4786.83 ,4765.75 ,4766.18 ,4656.99 ,4382.65 
1/3/2022,4778.14 ,4796.64 ,4758.17 ,4796.56 ,4661.93 ,4387.07 
1/4/2022,4804.51 ,4818.62 ,4774.27 ,4793.54 ,4666.90 ,4391.33 
1/5/2022,4787.99 ,4797.70 ,4699.44 ,4700.58 ,4669.58 ,4395.28 
1/6/2022,4693.39 ,4725.01 ,4671.26 ,4696.05 ,4672.01 ,4399.32 
1/7/2022,4697.66 ,4707.95 ,4662.74 ,4677.03 ,4674.51 ,4403.16 
1/10/2022,4655.34 ,4673.02 ,4582.24 ,4670.29 ,4675.99 ,4406.63 
1/11/2022,4669.14 ,4714.13 ,4638.27 ,4713.07 ,4678.14 ,4410.34 
1/12/2022,4728.59 ,4748.83 ,4706.71 ,4726.35 ,4680.40 ,4414.18 
1/13/2022,4733.56 ,4744.13 ,4650.29 ,4659.03 ,4680.97 ,4417.61 
1/14/2022,4637.99 ,4665.13 ,4614.75 ,4662.85 ,4681.01 ,4420.83 
1/18/2022,4632.24 ,4632.24 ,4568.70 ,4577.11 ,4678.95 ,4423.33 
1/19/2022,4588.03 ,4611.55 ,4530.20 ,4532.76 ,4675.66 ,4425.62 
1/20/2022,4547.35 ,4602.11 ,4477.95 ,4482.73 ,4671.28 ,4427.63 
1/21/2022,4471.38 ,4494.52 ,4395.34 ,4397.94 ,4665.53 ,4429.14 
1/24/2022,4356.32 ,4417.35 ,4222.62 ,4410.13 ,4660.80 ,4430.54 
1/25/2022,4366.64 ,4411.01 ,4287.11 ,4356.45 ,4654.94 ,4431.69 
1/26/2022,4408.43 ,4453.23 ,4304.80 ,4349.93 ,4648.29 ,4432.73 
1/27/2022,4380.58 ,4428.74 ,4309.50 ,4326.51 ,4641.16 ,4433.74 
1/28/2022,4336.19 ,4432.72 ,4292.46 ,4431.85 ,4635.78 ,4435.04 
1/31/2022,4431.79 ,4516.89 ,4414.02 ,4515.55 ,4632.32 ,4436.69 
2/1/2022,4519.57 ,4550.49 ,4483.53 ,4546.54 ,4629.16 ,4438.61 
2/2/2022,4566.39 ,4595.31 ,4544.32 ,4589.38 ,4626.98 ,4440.88 
2/3/2022,4535.41 ,4542.88 ,4470.39 ,4477.44 ,4622.87 ,4442.40 
2/4/2022,4482.79 ,4539.66 ,4451.50 ,4500.53 ,4619.07 ,4444.23 
2/7/2022,4505.75 ,4521.86 ,4471.47 ,4483.87 ,4614.72 ,4445.75 
2/8/2022,4480.02 ,4531.32 ,4465.40 ,4521.54 ,4613.26 ,4447.42 
2/9/2022,4547.00 ,4590.03 ,4547.00 ,4587.18 ,4611.90 ,4449.42 
